"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00470696","404868",42.544567,-89.031777,1935,"BELOIT",4.52230441070097
"USC00315890","174029",36.636399,-80.269396,1893,"MT AIRY 2 W",37.5787581585022
"USC00194875","525109",42.123705,-72.431473,1885,"MONSON",9.26189839782356
"USC00476827","423967",43.024681,-91.181247,1924,"PRAIRIE DU CHIEN",4.79104061538521
"USC00190120","643852",42.370997,-72.549243,1973,"AMHERST",1.93667624535909
"USC00115079","676778",40.149163,-89.368938,1976,"LINCOLN",2.59639129172396
"USC00470642","950418",45.694397,-91.706836,1969,"BEAVER BROOK",13.9300630048195
"USC00336882","619040",41.65,-82.8167,1961,"PUT-IN-BAY",1.38755118609216
"USC00111265","591901",37.713106,-89.218695,1940,"CARBONDALE SEWAGE PLT",5.05124981535261
"USC00200146","738953",43.386473,-84.835971,1949,"ALMA",15.1817702100646
"USC00218204","524511",45.409962,-92.639651,1928,"TAYLORS FALLS 1 NE",1.10177811634833
"USC00211245","17423",46.054959,-96.602294,1912,"CAMPBELL",15.5716501812517
"USC00218204","524764",45.4,-92.6333,1928,"TAYLORS FALLS 1 NE",2.26888717773188
"USW00014992","960996",44.50416,-94.8996,2016,"REDWOOD FALLS MUNI AP",15.1648490961755
"USC00216787","962645",47.77,-96.34,2015,"RED LAKE FALLS",12.853421590844
"USC00217460","817678",46.688685,-93.516311,1991,"SANDY LAKE DAM LIBBY",19.0213250624315
"USC00213411","833255",46.318701,-94.548814,1992,"GULL LAKE DAM",17.762895647687
"USC00214861","518813",45.8255556,-95.0955556,1991,"LONG PRAIRIE",22.2354461919272
"USC00216654","833450",43.623411,-92.219152,1991,"PRESTON",12.8405487935965
"USC00216287","520330",43.9627778,-93.1175,1990,"OWATONNA",17.5433020085143
"USC00214103","429423",46.439813,-93.525896,1991,"ISLE 12N",13.4874976301183
"USC00214793","434984",45.933896,-94.251564,1999,"LITTLE FALLS 2NNE",10.6178610484717
"USC00217460","839353",46.845996,-93.17745,1995,"SANDY LAKE DAM LIBBY",12.2982128067661
"USC00440720","438859",38.493667,-78.450833,2004,"BIG MEADOWS",3.38723219996474
"USC00111329","EIU078004",39.316326,-87.9094,2012,"CASEY",5.99563734894939
"USC00473022","v0415361WIS",43.280556,-90.868611,2019,"GAYS MILLS",4.09693824477041
