Identification,Phenophase,Phenophase detail,Month,Day,Year,Country,State,County,Habitat,,Elevation,Latitude,Longitude,Map details,Location info,URL,,,,
Collector: F. C. Gates,fruiting,1,7,20,1905,usa,illinois,cook,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432441,,,,
Collector: R. A. DeFilipps,fl,3,7,25,1959,usa,illinois,cook,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432443,,,,
Collector: F. M. Witt,fruiting,4,9,20,1972,usa,illinois,grundy,,,,41.28781,-88.285618,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432436,,,,
Collector: E. B. Uline,fl,3,7,0,1891,usa,indiana,st. joseph,,,,41.683381,-86.250007,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432421,,,,
Collector: S. F. Glassman,fl,1,7,22,1972,usa,wisconsin,kenosha,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432431,,,,
Collector: V. H. Chase,fruiting,,,,,,,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19607338,,,,
Collector: F. W. Hall,fl,3,0,0,1873,usa,connecticut,new haven,,,,41.30806,-72.92861,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19607253,,,,
Collector: C. S. Raddin,fl ,1,,,,usa,illinois,cook,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432449,,,,
Collector: R. N. Lloyd,fl,2,7,7,1887,usa,illinois,cook,,,,41.965588,-87.666723,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432413,,,,
"Collector: O. E. Lansing, Jr.",fruiting ,2,8,27,1897,usa,illinois,cook,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432438,,,,
"Collector: O. E. Lansing, Jr.",fruiting ,4,6,30,1900,usa,illinois,cook,,,,41.752257,-87.552824,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=4432433,,,,
Collector: M. S. Bebb,fl,4,0,0,1871,usa ,illinois,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19607227,,,,
31973000005130,fl ,3,7,1,1980,usa,kentucky,bracken,meadow-like area between highway and dam.,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=7363768,,,,
HTTU025530,fl,5,6,24,2000,usa,tennesse,jackson,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16196851,,,,
MDKY00007738,fruiting ,6,8,19,1998,usa,kentucky,rowan,along a stream and a horse trail,,920 ft,38.929,-83.1551,,9.4 miles on route 32 out Laurel Creek,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=10398264,,,,
MDKY00007743,leaves,,8,4,1995,usa,kentucky,menifee,,,,,,,7 miles east of the intersection of HW 460 and Rt 36,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=10398206,,,,
USCH0004443,fl,2,7,15,1993,usa,virginia,grayson,"Infrequent with Lysimachia ciliata, Stachys latidens, Helianthus divaricatus at edge of occasionally mowed roadside next to creek;",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=9369792,,,,
USCH0004444,fl,4,7,7,1992,usa,virginia,augusta,"plants growing on roadside, , VA 634, S of Stuarts Draft at creek crossing.",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=9323729,,,,
USCH0004445,fl,1,6,25,1986,usa,north carolina,avery,Collected from grass field off of rd 981 at Hughes Ridge.,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=9314680,,,,
USCH0004446,fl,1,7,24,1966,usa,north carolina,watauga,"Behind Justice Hall, A.S.T.C Campus. Road side.",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=9322985,,,,
USCH0004447,fruiting ,2,9,10,1966,usa,north carolina,madison,"Railroad track near French Broad River, Hot Springs Herbarium of Univ of S Carolina",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=9363374,,,,
USCH0057370,fl,4,7,10,2012,usa,illinois,clark,"Martinsville: Coleman Farm, on County Road 550 E. Grassland",,179 m,39.316326,-87.9094,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24454236,,,,
BRIT73599,fl,3,6,27,1975,usa,tennesse,montgomery,Loamy roadbank.,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17560756,,,,
TENN-V-0177545,fl,2,6,17,1990,usa,tennesse,knox,,,,35.865356,-84.061052,"WGS84, plus minus 817 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=14634219,,,,
TENN-V-0177546,fl,5,6,19,1934,usa,tennesse,knox,,,,35.995089,-83.88881,"WGS84, plus minus 11366 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=14634220,,,,
TENN-V-0177547,fl,2,,,2003,usa,tennesse,marion,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=14634221,,,,
TENN-V-0177548,fl,3,6,7,1998,usa,tennesse,marshall,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=14634222,,,,
