"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00256200","AUGIE-01092",41.852713,-101.046886,1893,"OGALLALA",98.2425876919146
"USC00307742","3529047",41.270927,-73.777634,1964,"SHRUB OAK",8.44902446386651
"USC00390559","BHSC0011499",44.53951,-103.85984,1982,"BELLE FOURCHE",14.6818118794818
"USC00392207","BHSC0015456",44.49721,-103.87104,1986,"DEADWOOD",17.6590757145053
"USC00394834","BHSC0017281",44.4383,-103.98086,1990,"LEAD",21.075441983608
"USC00390559","BHSC0021515",44.51041,-103.85983,1994,"BELLE FOURCHE",17.9146141127508
"USC00390559","BHSC0025207",44.49614,-103.92061,1994,"BELLE FOURCHE",20.2506015332857
"USC00390559","BHSC0025270",44.51041,-103.85983,1994,"BELLE FOURCHE",17.9146141127508
"USC00390559","BHSC0025697",44.51041,-103.85983,1994,"BELLE FOURCHE",17.9146141127508
"USC00392207","BHSC0030100",44.40951,-103.69941,2002,"DEADWOOD",4.73339797739114
"USC00123650","94d9dc58-5975-494c-aaca-16a25297fc15",41.4333,-87.9667,1904,"HAMMOND",41.6011171526712
"USW00094728","56f6f04c-5489-4b4b-aaf9-4908ac34fc3d",41.562321,-72.650649,1883,"NY CITY CNTRL PARK",140.599829789405
"USC00255960","BHSC0040177",42.873644,-98.267157,1966,"NIOBRARA",22.8272606233869
"USC00218986","v0363199WIS",45.70873,-92.70809,2018,"WILD RVR SP",20.8837335094992
"USC00211691","950839",45.791389,-94.808333,1927,"COLLEGEVILLE ST JOHN'S",40.025955588597
"USC00392984","553755",43.979723,-96.367859,1954,"FLANDREAU",19.6877673822167
"USC00215598","691240",46.194764,-93.022397,1977,"MOOSE LAKE 1 SSE",33.8120709177754
"USC00210934","373785",46.547376,-93.745854,1941,"BRAINERD",39.0701977094319
"USW00054936","686103",45.868856,-94.31068,1900,"ST CLOUD STATE CLG",38.0363488671193
"USC00478349","360300",46.75262,-92.15274,1940,"SUPERIOR",6.79177772434032
"USC00219168","753784",43.927816,-95.713386,1983,"WORTHINGTON RAD KWOA",33.1244974083675
